prices,carburant,chevaux,BoiteVitesse,seller_type,city ,type ,KMS,modele,marque,Anciennete
,Essence,14,,private,Marrakech,"Voitures d'occasion, Vente",114999.5,Sebring,Chrysler,13
,Diesel,6,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",144999.5,Qashqai,Nissan,10
,Diesel,,Automatique,private,Casablanca,"Voitures d'occasion, Vente",124999.5,GOLF 7,Volkswagen,8
217000,Diesel,12,Manuelle,shop,Tanger,"Voitures d'occasion, Vente",124999.5,Prado,Toyota,6
,Diesel,8,Manuelle,private,Sale,"Voitures d'occasion, Vente",42499.5,Leon,Seat,3
85000,Diesel,9,Manuelle,private,Beni Mellal,"Voitures d'occasion, Vente",224999.5,Classe C,Mercedes-Benz,20
,Diesel,5,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",92499.5,Yaris,Toyota,4
125000,Diesel,7,Manuelle,private,Safi,"Voitures d'occasion, Vente",77499.5,Astra,Opel,8
,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",82499.5,Macan,Porsche,4
,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",52499.5,Range Rover Sport,Land Rover,2
15000,Diesel,6,Manuelle,private,Rabat,"Voitures d'occasion, Vente",2499.5,Uno,Fiat,25
215000,Diesel,,,private,Casablanca,"Voitures d'occasion, Vente",104999.5,XC60,Volvo,8
40000,Diesel,8,Manuelle,private,Tanger,"Voitures d'occasion, Vente",224999.5,190,Mercedes-Benz,36
145000,Diesel,8,Automatique,private,Tetouan,"Voitures d'occasion, Vente",224999.5,Koleos,Renault,8
,Diesel,6,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",114999.5,Duster,Dacia,5
,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",87499.5,Ghibli,Maserati,5
,Diesel,8,,private,Tetouan,"Voitures d'occasion, Vente",62499.5,Leon,Seat,4
,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",62499.5,3200 GT,Maserati,4
,Diesel,6,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",72499.5,Dokker,Dacia,3
,Diesel,7,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",114999.5,Focus,Ford,5
,Diesel,12,Automatique,shop,Marrakech,"Voitures d'occasion, Vente",72499.5,Touareg,Volkswagen,5
112000,Diesel,8,Manuelle,private,Casablanca,"Voitures d'occasion, Vente",224999.5,Kuga,Ford,12
37000,Essence,7,Manuelle,shop,Nador,"Voitures d'occasion, Vente",2499.5,Corsa,Opel,27
,Essence,11,Automatique,shop,Fes,"Voitures d'occasion, Vente",194999.5,Serie 5,BMW,14
,Diesel,6,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",92499.5,Duster,Dacia,3
114000,Diesel,9,Manuelle,shop,Marrakech,"Voitures d'occasion, Vente",224999.5,Santa Fe,Hyundai,10
,Diesel,7,Automatique,private,Agadir,"Voitures d'occasion, Vente",194999.5,Classe A,Mercedes-Benz,8
170000,Diesel,8,Manuelle,shop,Rabat,"Voitures d'occasion, Vente",72499.5,GOLF 7,Volkswagen,4
,Diesel,6,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",92499.5,Accent,Hyundai,4
128000,Diesel,6,Manuelle,shop,Marrakech,"Voitures d'occasion, Vente",37499.5,Micra,Nissan,4
,Diesel,8,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",114999.5,Passat,Volkswagen,6
90000,Diesel,9,Manuelle,shop,Rabat,"Voitures d'occasion, Vente",224999.5,3,Mazda,11
,Diesel,11,Automatique,shop,Agadir,"Voitures d'occasion, Vente",164999.5,Touareg,Volkswagen,7
262000,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",104999.5,Range Rover Evoque,Land Rover,6
123000,Diesel,8,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",114999.5,STAVIC,Ssangyong,6
145000,Diesel,8,Automatique,private,Tetouan,"Voitures d'occasion, Vente",224999.5,Koleos,Renault,8
,Diesel,6,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",114999.5,Duster,Dacia,5
,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",87499.5,Ghibli,Maserati,5
,Diesel,8,,private,Tetouan,"Voitures d'occasion, Vente",62499.5,Leon,Seat,4
,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",62499.5,3200 GT,Maserati,4
,Diesel,6,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",72499.5,Dokker,Dacia,3
,Diesel,7,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",114999.5,Focus,Ford,5
,Diesel,12,Automatique,shop,Marrakech,"Voitures d'occasion, Vente",72499.5,Touareg,Volkswagen,5
112000,Diesel,8,Manuelle,private,Casablanca,"Voitures d'occasion, Vente",224999.5,Kuga,Ford,12
37000,Essence,7,Manuelle,shop,Nador,"Voitures d'occasion, Vente",2499.5,Corsa,Opel,27
,Essence,11,Automatique,shop,Fes,"Voitures d'occasion, Vente",194999.5,Serie 5,BMW,14
,Diesel,6,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",92499.5,Duster,Dacia,3
114000,Diesel,9,Manuelle,shop,Marrakech,"Voitures d'occasion, Vente",224999.5,Santa Fe,Hyundai,10
,Diesel,7,Automatique,private,Agadir,"Voitures d'occasion, Vente",194999.5,Classe A,Mercedes-Benz,8
170000,Diesel,8,Manuelle,shop,Rabat,"Voitures d'occasion, Vente",72499.5,GOLF 7,Volkswagen,4
,Diesel,6,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",92499.5,Accent,Hyundai,4
128000,Diesel,6,Manuelle,shop,Marrakech,"Voitures d'occasion, Vente",37499.5,Micra,Nissan,4
,Diesel,8,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",114999.5,Passat,Volkswagen,6
90000,Diesel,9,Manuelle,shop,Rabat,"Voitures d'occasion, Vente",224999.5,3,Mazda,11
,Diesel,11,Automatique,shop,Agadir,"Voitures d'occasion, Vente",164999.5,Touareg,Volkswagen,7
262000,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",104999.5,Range Rover Evoque,Land Rover,6
123000,Diesel,8,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",114999.5,STAVIC,Ssangyong,6
,Diesel,6,Manuelle,shop,El Jadida,"Voitures d'occasion, Vente",92499.5,Focus,Ford,5
150000,Diesel,6,Manuelle,private,Rabat,"Voitures d'occasion, Vente",7499.5,Clio,Renault,1
87000,Diesel,9,Manuelle,private,Rabat,"Voitures d'occasion, Vente",224999.5,Accord,Honda,14
120000,Diesel,6,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",97499.5,Berlingo,Citroen,6
475000,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",32499.5,Serie 3,BMW,3
190000,Diesel,9,Manuelle,shop,Tanger,"Voitures d'occasion, Vente",164999.5,Classe C,Mercedes-Benz,11
132000,Diesel,8,Automatique,shop,Rabat,"Voitures d'occasion, Vente",224999.5,FREEMONT,Fiat,8
125000,Diesel,8,Manuelle,shop,Rabat,"Voitures d'occasion, Vente",114999.5,FREEMONT,Fiat,10
180000,Diesel,6,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",67499.5,CR-V,Honda,6
250000,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",97499.5,X3,BMW,7
102000,Diesel,6,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",164999.5,Sandero,Dacia,6
227000,Diesel,8,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",104999.5,Tiguan,Volkswagen,5
125000,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",184999.5,Classe E,Mercedes-Benz,12
215000,Diesel,,,private,Casablanca,"Voitures d'occasion, Vente",104999.5,XC60,Volvo,8
40000,Diesel,8,Manuelle,private,Tanger,"Voitures d'occasion, Vente",224999.5,190,Mercedes-Benz,36
145000,Diesel,8,Automatique,private,Tetouan,"Voitures d'occasion, Vente",224999.5,Koleos,Renault,8
,Diesel,6,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",114999.5,Duster,Dacia,5
,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",87499.5,Ghibli,Maserati,5
,Diesel,8,,private,Tetouan,"Voitures d'occasion, Vente",62499.5,Leon,Seat,4
,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",62499.5,3200 GT,Maserati,4
,Diesel,6,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",72499.5,Dokker,Dacia,3
,Diesel,7,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",114999.5,Focus,Ford,5
,Diesel,12,Automatique,shop,Marrakech,"Voitures d'occasion, Vente",72499.5,Touareg,Volkswagen,5
112000,Diesel,8,Manuelle,private,Casablanca,"Voitures d'occasion, Vente",224999.5,Kuga,Ford,12
37000,Essence,7,Manuelle,shop,Nador,"Voitures d'occasion, Vente",2499.5,Corsa,Opel,27
,Essence,11,Automatique,shop,Fes,"Voitures d'occasion, Vente",194999.5,Serie 5,BMW,14
,Diesel,6,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",92499.5,Duster,Dacia,3
114000,Diesel,9,Manuelle,shop,Marrakech,"Voitures d'occasion, Vente",224999.5,Santa Fe,Hyundai,10
,Diesel,7,Automatique,private,Agadir,"Voitures d'occasion, Vente",194999.5,Classe A,Mercedes-Benz,8
170000,Diesel,8,Manuelle,shop,Rabat,"Voitures d'occasion, Vente",72499.5,GOLF 7,Volkswagen,4
,Diesel,6,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",92499.5,Accent,Hyundai,4
128000,Diesel,6,Manuelle,shop,Marrakech,"Voitures d'occasion, Vente",37499.5,Micra,Nissan,4
,Diesel,8,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",114999.5,Passat,Volkswagen,6
90000,Diesel,9,Manuelle,shop,Rabat,"Voitures d'occasion, Vente",224999.5,3,Mazda,11
,Diesel,11,Automatique,shop,Agadir,"Voitures d'occasion, Vente",164999.5,Touareg,Volkswagen,7
262000,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",104999.5,Range Rover Evoque,Land Rover,6
123000,Diesel,8,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",114999.5,STAVIC,Ssangyong,6
,Diesel,6,Manuelle,shop,El Jadida,"Voitures d'occasion, Vente",92499.5,Focus,Ford,5
150000,Diesel,6,Manuelle,private,Rabat,"Voitures d'occasion, Vente",7499.5,Clio,Renault,1
87000,Diesel,9,Manuelle,private,Rabat,"Voitures d'occasion, Vente",224999.5,Accord,Honda,14
120000,Diesel,6,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",97499.5,Berlingo,Citroen,6
475000,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",32499.5,Serie 3,BMW,3
190000,Diesel,9,Manuelle,shop,Tanger,"Voitures d'occasion, Vente",164999.5,Classe C,Mercedes-Benz,11
132000,Diesel,8,Automatique,shop,Rabat,"Voitures d'occasion, Vente",224999.5,FREEMONT,Fiat,8
125000,Diesel,8,Manuelle,shop,Rabat,"Voitures d'occasion, Vente",114999.5,FREEMONT,Fiat,10
180000,Diesel,6,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",67499.5,CR-V,Honda,6
250000,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",97499.5,X3,BMW,7
102000,Diesel,6,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",164999.5,Sandero,Dacia,6
180000,Diesel,6,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",67499.5,CR-V,Honda,6
250000,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",97499.5,X3,BMW,7
102000,Diesel,6,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",164999.5,Sandero,Dacia,6
227000,Diesel,8,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",104999.5,Tiguan,Volkswagen,5
125000,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",184999.5,Classe E,Mercedes-Benz,12
108000,Diesel,9,Automatique,shop,Marrakech,"Voitures d'occasion, Vente",174999.5,508,Peugeot,11
28000,Essence,11,Automatique,private,Casablanca,"Voitures d'occasion, Vente",184999.5,Camry,Toyota,20
150000,Diesel,6,Manuelle,shop,Marrakech,"Voitures d'occasion, Vente",174999.5,Serie 1,BMW,8
95000,Diesel,6,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",144999.5,C-Elysee,Citroen,7
97000,Diesel,8,Manuelle,private,Sale,"Voitures d'occasion, Vente",12499.5,Passat,Volkswagen,15
122000,Diesel,9,Automatique,shop,Agadir,"Voitures d'occasion, Vente",154999.5,Accord,Honda,12
118000,Diesel,8,Automatique,shop,Marrakech,"Voitures d'occasion, Vente",224999.5,FREEMONT,Fiat,10
,Diesel,6,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",2499.5,Clio,Renault,0
38000,Diesel,7,Manuelle,private,Khemisset,"Voitures d'occasion, Vente",7499.5,C15,Citroen,19
112000,Diesel,8,Automatique,private,Casablanca,"Voitures d'occasion, Vente",164999.5,S60,Volvo,8
111000,Diesel,6,Manuelle,shop,Tanger,"Voitures d'occasion, Vente",174999.5,Kangoo,Renault,7
185000,Diesel,10,Manuelle,shop,Marrakech,"Voitures d'occasion, Vente",57499.5,K2500,Kia,2
,Diesel,9,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",92499.5,Classe C,Mercedes-Benz,6
